text,label
"Subject: interview schedule for jinbaek kim  i didn ' t see this before it went out , but i will be happy to meet with  jinbaek in the 11 : 00 am time slot , if you don ' t have anyone else scheduled  then . if not , i can easily meet with hiim after lunch .  molly  - - - - - - - - - - - - - - - - - - - - - - forwarded by molly magee / hou / ect on 01 / 17 / 2001 08 : 11  pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  shawn grady @ enron  01 / 17 / 2001 06 : 02 pm  to : vince j kaminski / hou / ect @ ect , stinson gibner / hou / ect @ ect , tanya  tamarchenko / hou / ect @ ect , bob lee / na / enron @ enron , vasant shanbhogue / hou / ect @ ect  cc : shirley crenshaw / hou / ect @ ect , anita dupont / na / enron @ enron , molly  magee / hou / ect @ ect  subject : interview schedule for jinbaek kim  please find the interview packet for the above - referenced candidate . the  interview will occur on friday january 19 , 2001 . please print all documents  for your reference . if you have any questions , or conflicts of schedule ,  please do not hesitate to contact me .  shawn grady  58701",0
"Subject: re : wednesday meeting  eric ,  i think we can skip the meeting and discuss any issues between us .  the meeting was convened at the request of doug arnell , but jeff  shankman thinks that there is no need for formal meetings : we can  ask them for the information directly on as needed basis .  vince  enron north america corp .  from : eric groves 09 / 05 / 2000 11 : 01 am  to : vince j kaminski / hou / ect @ ect  cc :  subject : wednesday meeting  are we still having the meeting tomorrow ? at what time ?  thanks ,  eric",0
"Subject: re : london research group  i ' d do it as soon as possible . your call on exactly when .  regards  richard  vince j kaminski  27 / 07 / 2000 17 : 11  to : richard lewis / lon / ect @ ect  cc : john sherriff / lon / ect @ ect , vince j kaminski / hou / ect @ ect , grant  masson / hou / ect @ ect , stinson gibner / hou / ect @ ect , joe gold / lon / ect @ ect , dale  surbey / lon / ect @ ect  subject : re : london research group  richard ,  please , let me know what the timetable is . i would like to talk to anjam a  few days before  to break the news to him . i hope i can save him for the company and offer him  a position in houston .  we desperately need skills he has .  vince  richard lewis  07 / 27 / 2000 02 : 20 am  to : dale surbey / lon / ect @ ect  cc : john sherriff / lon / ect @ ect , vince j kaminski / hou / ect @ ect , grant  masson / hou / ect @ ect , stinson gibner / hou / ect @ ect , joe gold / lon / ect @ ect  subject : re : london research group  i agree with dale - no point in delaying .  dale surbey  27 / 07 / 2000 08 : 13  to : john sherriff / lon / ect @ ect  cc : vince j kaminski / hou / ect @ ect , richard lewis / lon / ect @ ect , grant  masson / hou / ect @ ect , stinson gibner / hou / ect @ ect , joe gold / lon / ect @ ect  subject : re : london research group  john ,  i propose accelerating steve ' s move to head the research group here . it  makes sense to include this as part of the mid - year prc process by giving him  a tangible reward along with his performance feedback .  thoughts ?  - dale  john sherriff  27 / 07 / 2000 06 : 44  to : vince j kaminski / hou / ect @ ect  cc : dale surbey / lon / ect @ ect , vince j kaminski / hou / ect @ ect , richard  lewis / lon / ect @ ect , grant masson / hou / ect @ ect , stinson gibner / hou / ect @ ect , joe  gold / lon / ect @ ect  subject : re : london research group  vince - i agree with your conclusion here . we are still trying to fill  dale ' s structuring role as well so part of the question is  how we announce steve ' s lead research role relative to when we know who will  take dale ' s spot . perhaps we should just  move forward with the steve announcement the day that dale moves full time to  ebs . i will ask richard lewis to take the lead  in working with you on finalizing the decision and communcicating the changes  to the organization .  but i do want to reinforce how pleased we are to have steve here . he is a  wonderfull asset to our efforts .  thanks !  john  vince j kaminski  26 / 07 / 2000 22 : 18  to : john sherriff / lon / ect @ ect  cc : dale surbey / lon / ect @ ect , vince j kaminski / hou / ect @ ect , richard  lewis / lon / ect @ ect , grant masson / hou / ect @ ect , stinson gibner / hou / ect @ ect  subject : london research group  john ,  i am writing to you regarding the management of the london research group .  as you know , dale surbey , who was managing the london unit of the research  group ,  is moving to ebs . dale did a terrific job helping me to develop the pool of  talent we have currently  in london .  given that dale is likely to be transfered to houston , it ' s time  to nominate one member of the research group for a management position .  my recommendation is steve leppard . steve emerged not only as the most  technically qualified member of the group but also as a natural leader ,  highly  respected by his peers and internal customers . steve has a very high energy  level  and is very efficient as a manager and as coach of new talent .  his promotion is likely to cause anjam ' s departure form enron . i value  technical  skills of anjam , but in spite of my loyalty to him , don ' t think he is the  same caliber  as steve . however , i would not like to lose him and think about moving him to  houston  for 2 years . i think that the opportunity to work in houston , would be a  sufficient  incentive to keep him in enron . by the way , his performance feedback has  greatly improved .  please , let me know what you think .  vince",0
"Subject: re : congratulations  vince , thanks for your note . and congratulations backatcha ! i was  thrilled to see your name on the list as well . kristina",0
"Subject: osman sezgen  steve kromer is requesting that osman spend 1 day / week in san francisco .  steve heads the risk analytics group for enery asset management under steve  meyers . i will find from marty why they are setting up shop in sf .  krishna .  - - - - - - - - - - - - - - - - - - - - - - forwarded by pinnamaneni krishnarao / hou / ect on  08 / 04 / 2000 04 : 40 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  to : pinnamaneni krishnarao / hou / ect @ ect  cc : dave roberts / hou / ees @ ees , osman sezgen / hou / ees @ ees  subject : osman sezgen  krishna ,  osman has informed me that he has been requested to provide research services  to a larger number of clients in ees , leaving him less time to contribute to  our work here at the eam desk . while i am happy for him and believe that the  company will benefit from his services , i am concerned that he may not be  available at a crucial time in the development of the eam option strategy .  the eam desk is continuing to develop standard models for the bulk of our ecm  projects . we have hired 4 people in the past month and all of them will be  working by early september . osman provides an important link for our new  staff to several core areas of our business . first , his experience with  modeling and energy analysis are invaluable . second , as we move to treating  our projects as options , and pricing them as such , osman will be needed to  assist us in creating auditable methods to assess savings volatility .  i am expecting two of the team members to start in san francisco in the near  future . my request is for osman to be available to this team for one day a  week for the next several months , preferably until christmas .  thank you for your consideration of this matter .  steve kromer",0
"Subject: re : houston visit  soussan ,  thanks for your message . it would be great to meet you when you come to  houston .  i shall be in town on december 7 , flying back from philly in the morning .  assuming that the flight is on schedule , i shall be available for dinner .  please , let me know how i can contact you on thursday , december the 7 th ,  to confirm .  look forward to meeting you .  vince  "" faiz , soussan "" on 11 / 26 / 2000 09 : 04 : 01 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : houston visit  dear vince ,  greetings from ny and hope that all is well and you had a great  thanksgiving . i ' ll be coming to houston for 12 / 6 - 12 / 7 and hope you are  available either evening for dinner . would be great to see you again and  catch up with the latest . . . i really enjoyed my visit last april , your  insights , and the risk book you gave me .  i do hope you ' re available to meet and pls let me know which evening suits  you better .  best ,  soussan faiz  texaco inc .  914 253 4187",0
"Subject: impending visit july 5 - 7  vince :  i plan to be in houston on july 5 - 7 . i would like very much to get together  with you and perhaps your investment guy on friday morning on the 7 th if you  and / or he have the time or perhaps on the 5 th in the afternoon . i would  like to continue the discussions about your using marketpoint and about your  investment guy considering marketpoint if he is interested . when you see  the progress we have made , i think you will agree that it merits  consideration as a part of enrononline . com as well as a profitable  investment in its own right . it is still in the situation where it can be  provided exclusively to whomever i choose ; i have been very , very careful  how i have promoted it so that i do not get committed to a second - rate  partner .  i also have what i think is a fundamentally new , general markovian forward  optionality evaluator . i wrote my ph . d . dissertation at stanford in the  1970 s ( defended with honors ) in semi - markovian decision processes during the  heyday of that research , and i have seen direct applications in optionality  evaluation . i think you will be fascinated to see and review it . it is  presently implemented in prototype form and it could be made available to  the first large retainer client on an exclusive basis who is sufficiently  interested . if you want to be that retainer client , that would be of  interest to me .  give me a shout via return email or by my cell phone at 650 . 218 . 3069  regarding schedule . i am out of town this week but available via email or  phone at the above addresses .  i really hope we can get together that week if we possibly can . thanks very  much for considering my request , and thanks very much for being the go  between with your investment guy . i deeply appreciate it . i hope to see  you on the 5 th or 7 th .  dale nesbitt",0
"Subject: re : the garp 2001 convention  andreas :  here it is :  vincent kaminski  managing director - research  enron corp .  1400 smith street  room ebl 962  houston , tx 77002 - 7361  phone : ( 713 ) 853 3848  fax : ( 713 ) 646 2503  e - mail : vkamins @ enron . com  vince  "" andreas simou "" on 09 / 15 / 2000 09 : 11 : 00 am  to :  cc :  subject : the garp 2001 convention  dear garp speak  ?  i am writing to request some information regarding the garp 2001 convention .  ?  can you please furnish me with your full postal address so that i can send  you a copy of the garp brochure in the near future .  ?  i look forward to your response in due course .  ?  kind regards  ?  andreas  ?  _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  andreas simou  garp 2001 - conference producer  tel ? + 44 ( 0 ) 20 7626 9301  fax + 44 ( 0 ) 20 7626 9900",0
"Subject: rtp project  vince ,  targetted conference date is th - f june 21 - 22 at stanford . enclosed in the  recent revision to what i sent before .  great to meet you ,  hill  - retail notes . rtf  hillard g . huntington  emf - an international forum on  energy and environmental markets voice : ( 650 ) 723 - 1050  408 terman center fax : ( 650 ) 725 - 5362  stanford university email : hillh @ stanford . edu  stanford , ca 94305 - 4026  emf website : http : / / www . stanford . edu / group / emf /",0
"Subject: re : houston visit  soussan ,  it seems we have planned for all contingencies .  look forward to meeting you next week .  vince  "" faiz , soussan "" on 11 / 28 / 2000 06 : 51 : 51 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : houston visit  vince ,  your suggested arrangement is perfect with me and i love both italian or  steak . . . the choice is yours . i really look forward to our meeting vkaminski @ aol . com  subject : re : houston visit  soussan ,  let ' s meet at westin oaks next to the reception around 6 : 30 p . m . thursday .  there are several nice restaurants within a walking distance to the  galleria .  i shall make a reservation ( is italian or a steakhouse ok ? ) .  you can reach me on thursday at my cell phone 713 410 5396 .  look forward to meeting you .  vince  "" faiz , soussan "" on 11 / 27 / 2000 04 : 37 : 30 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : re : houston visit  great ! i look forward to our dinner on thurs . 12 / 7 evening . hopefully  your  flight will be on time . . . although having watched 60 minutes last night and  suffered from a # of delays lately , let ' s hope that the "" weather blame ""  doesn ' t get in the way . it ' s best to leave me a message @ my usual work #  on thurs . , 914 253 4187 , . . . i can easily check it in houston .  i ' ll be staying @ the westin oaks in the galleria . . . any preferred place  that i can book ( & for what time ) ? ? coming over to down town won ' t be a  problem for me either .  will be great to see you again .  soussan  914 253 4187  - - - - - original message - - - - -  from : vince . j . kaminski @ enron . com [ mailto : vince . j . kaminski @ enron . com ]  sent : monday , november 27 , 2000 12 : 10 pm  to : faizs @ texaco . com  cc : vince . j . kaminski @ enron . com  subject : re : houston visit  soussan ,  thanks for your message . it would be great to meet you when you come to  houston .  i shall be in town on december 7 , flying back from philly in the morning .  assuming that the flight is on schedule , i shall be available for dinner .  please , let me know how i can contact you on thursday , december the 7 th ,  to confirm .  look forward to meeting you .  vince  "" faiz , soussan "" on 11 / 26 / 2000 09 : 04 : 01 pm  to : "" ' vince . j . kaminski @ enron . com ' ""  cc :  subject : houston visit  dear vince ,  greetings from ny and hope that all is well and you had a great  thanksgiving . i ' ll be coming to houston for 12 / 6 - 12 / 7 and hope you are  available either evening for dinner . would be great to see you again and  catch up with the latest . . . i really enjoyed my visit last april , your  insights , and the risk book you gave me .  i do hope you ' re available to meet and pls let me know which evening suits  you better .  best ,  soussan faiz  texaco inc .  914 253 4187",0
